	vtage	
tmpycsb_mongodb_runa_35_txn355100.ckpt.19306,confidencemetrics,3006329,436840,207831,778983,16570579,409418,103063,104566,,
tmpycsb_mongodb_runa_45_txn455100.ckpt.19306,confidencemetrics,3013303,436389,206615,763411,16577634,407677,103578,103157,,
tmpycsb_mongodb_runb_15_txn155100.ckpt.19306,confidencemetrics,3028400,345824,149470,364181,17258302,399635,102724,66112,,
tmpycsb_mongodb_runb_35_txn355100.ckpt.19306,confidencemetrics,3016838,342010,146945,367521,17235443,398916,102328,63061,,
tmpycsb_mongodb_runb_45_txn450100.ckpt.19306,confidencemetrics,3021167,337081,146347,343260,17309058,397261,96183,63038,,
tmpycsb_mongodb_runb_45_txn455100.ckpt.19306,confidencemetrics,3044529,342306,148819,345050,17259612,401798,99590,64435,,
tmpycsb_mongodb_runc_15_txn155100.ckpt.19306,confidencemetrics,2844291,352725,149460,323548,17777697,413417,104056,60327,,
tmpycsb_mongodb_runc_35_txn355100.ckpt.19306,confidencemetrics,2861153,355442,152603,321882,17757248,417019,106409,61793,,
tmpycsb_mongodb_runc_45_txn450100.ckpt.19306,confidencemetrics,2859253,354360,152903,321677,17762900,417561,107125,61707,,
tmpycsb_mongodb_runc_45_txn455100.ckpt.19306,confidencemetrics,2830045,351640,149071,324276,17799567,409102,103626,59066,,
tmpycsb_mongodb_rund_15_txn155100.ckpt.19306,confidencemetrics,3023236,361929,150664,366535,17092596,379772,96379,61278,,
tmpycsb_mongodb_rund_35_txn355100.ckpt.19306,confidencemetrics,2928649,375417,159165,379538,17290388,394480,102830,65819,,
tmpycsb_mongodb_rund_45_txn450100.ckpt.19306,confidencemetrics,2982669,367740,153898,365995,17208776,388659,99541,63512,,
tmpycsb_mongodb_rund_45_txn455100.ckpt.19306,confidencemetrics,2892266,370772,154322,372529,17368930,390454,99625,63034,,
tmpycsb_mongodb_runf_15_txn155100.ckpt.19306,confidencemetrics,2899365,405867,181174,633279,17090182,410082,103685,92239,,
tmpycsb_mongodb_runf_35_txn355100.ckpt.19306,confidencemetrics,2910199,405573,181917,630888,17077232,411700,102456,92408,,
tmpycsb_mongodb_runf_45_txn450100.ckpt.19306,confidencemetrics,2898305,400090,179829,617558,17119478,409513,104409,91641,,
tmpycsb_mongodb_runf_45_txn455100.ckpt.19306,confidencemetrics,2899326,401922,179738,615641,17121389,409604,103373,90995,,

